iter	Passed	Remaining
0	28	113805
1	56	113102
2	82	110262
3	109	109642
4	136	108959
5	163	109018
6	191	109145
7	220	109886
8	247	109959
9	277	110542
10	305	110726
11	334	111058
12	362	111078
13	391	111412
14	420	111724
15	449	111864
16	477	111862
17	504	111704
18	533	111857
19	561	111800
20	591	112001
21	622	112504
22	650	112453
23	679	112583
24	708	112622
25	737	112682
26	763	112294
27	790	112128
28	816	111835
29	843	111614
30	870	111491
31	898	111418
32	925	111237
33	953	111179
34	983	111408
35	1012	111528
36	1040	111405
37	1066	111239
38	1093	111015
39	1119	110829
40	1147	110770
41	1174	110702
42	1201	110598
43	1228	110443
44	1254	110257
45	1282	110226
46	1311	110272
47	1342	110496
48	1369	110465
49	1397	110413
50	1424	110306
51	1450	110148
52	1478	110135
53	1506	110057
54	1528	109638
55	1557	109688
56	1586	109724
57	1614	109719
58	1643	109774
59	1672	109798
60	1700	109823
61	1726	109691
62	1753	109571
63	1778	109398
64	1806	109382
65	1833	109305
66	1855	108920
67	1881	108822
68	1912	108977
69	1938	108834
70	1965	108760
71	1993	108754
72	2021	108739
73	2048	108662
74	2074	108580
75	2103	108595
76	2131	108577
77	2158	108525
78	2185	108490
79	2214	108500
80	2240	108416
81	2266	108311
82	2298	108464
83	2325	108391
84	2351	108302
85	2378	108270
86	2404	108165
87	2430	108067
88	2457	107999
89	2485	107980
90	2512	107927
91	2539	107874
92	2566	107836
93	2594	107804
94	2620	107723
95	2649	107733
96	2670	107436
97	2696	107358
98	2723	107334
99	2750	107267
100	2775	107151
101	2798	106930
102	2824	106849
103	2852	106849
104	2869	106459
105	2897	106429
106	2924	106401
107	2951	106347
108	2973	106150
109	3000	106101
110	3026	106046
111	3055	106055
112	3076	105842
113	3095	105512
114	3121	105451
115	3144	105283
116	3166	105085
117	3192	105033
118	3218	104980
119	3232	104522
120	3255	104349
121	3282	104348
122	3312	104404
123	3339	104386
124	3353	103968
125	3371	103657
126	3398	103653
127	3426	103645
128	3454	103669
129	3481	103646
130	3508	103624
131	3536	103632
132	3547	103154
133	3580	103310
134	3615	103510
135	3647	103631
136	3675	103628
137	3707	103746
138	3740	103905
139	3767	103863
140	3800	104026
141	3817	103721
142	3836	103489
143	3856	103263
144	3874	103009
145	3894	102813
146	3906	102393
147	3921	102073
148	3951	102127
149	3970	101907
150	3985	101580
151	4009	101508
152	4040	101583
153	4064	101503
154	4094	101560
155	4124	101636
156	4140	101355
157	4155	101051
158	4183	101064
159	4206	100961
160	4237	101033
161	4247	100635
162	4259	100258
163	4277	100057
164	4302	99994
165	4321	99805
166	4336	99522
167	4347	99172
168	4371	99100
169	4401	99158
170	4429	99174
171	4440	98834
172	4452	98487
173	4466	98217
174	4486	98058
175	4505	97882
176	4530	97847
177	4545	97592
178	4568	97529
179	4599	97605
180	4613	97350
181	4625	97023
182	4654	97083
183	4683	97133
184	4695	96821
185	4706	96510
186	4729	96438
187	4748	96283
188	4772	96223
189	4791	96083
190	4802	95771
191	4821	95634
192	4833	95349
193	4845	95059
194	4869	95012
195	4892	94956
196	4904	94684
197	4923	94540
198	4942	94408
199	4971	94457
200	4982	94168
201	5012	94240
202	5041	94300
203	5072	94395
204	5101	94445
205	5116	94241
206	5145	94290
207	5175	94358
208	5199	94318
209	5229	94381
210	5259	94453
211	5271	94183
212	5285	93978
213	5315	94039
214	5338	93988
215	5368	94054
216	5392	94006
217	5421	94064
218	5450	94110
219	5475	94070
220	5498	94028
221	5521	93961
222	5540	93842
223	5570	93903
224	5601	93979
225	5631	94033
226	5660	94080
227	5691	94157
228	5721	94213
229	5745	94181
230	5776	94253
231	5800	94206
232	5815	94013
233	5845	94078
234	5860	93892
235	5890	93952
236	5923	94048
237	5939	93886
238	5970	93950
239	6001	94023
240	6025	93986
241	6056	94046
242	6075	93930
243	6090	93753
244	6105	93576
245	6125	93474
246	6155	93522
247	6177	93466
248	6193	93296
249	6214	93210
250	6234	93114
251	6263	93161
252	6278	92988
253	6302	92955
254	6317	92784
255	6334	92640
256	6354	92542
257	6369	92382
258	6400	92446
259	6416	92302
260	6447	92366
261	6468	92287
262	6489	92211
263	6520	92273
264	6551	92335
265	6567	92190
266	6589	92128
267	6605	91981
268	6620	91832
269	6637	91692
270	6652	91539
271	6668	91394
272	6688	91307
273	6709	91239
274	6730	91171
275	6761	91237
276	6780	91139
277	6796	90995
278	6811	90842
279	6826	90696
280	6849	90657
281	6879	90699
282	6898	90612
283	6918	90527
284	6938	90449
285	6958	90367
286	6973	90216
287	6993	90136
288	7012	90051
289	7035	90010
290	7055	89929
291	7075	89847
292	7108	89935
293	7128	89858
294	7143	89716
295	7158	89576
296	7186	89604
297	7218	89676
298	7247	89711
299	7276	89738
300	7300	89720
301	7325	89699
302	7349	89679
303	7374	89659
304	7407	89740
305	7427	89660
306	7457	89708
307	7477	89636
308	7492	89496
309	7517	89476
310	7537	89410
311	7552	89276
312	7567	89140
313	7587	89069
314	7612	89056
315	7649	89184
316	7688	89326
317	7723	89430
318	7760	89545
319	7784	89516
